Grant name	Sponsor org	Link	Award max	RFP	Innovation/execution	Latest preparation start date	App deadline	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes	Award min	Match %	Funding Instrument	Categories	Eligibility	Synopsis snippet
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334)	National Institutes of Health	https://www.grants.gov/search-results-detail/359970		https://www.grants.gov/search-results-detail/359970						Open 07/17/2025 → Close 			Status: forecasted						
Commercial Fishing Occupational Safety Training Project Grants (T03) (RFA-OH-22-006)	Centers for Disease Control and Prevention - ERA	https://www.grants.gov/search-results-detail/334972		https://www.grants.gov/search-results-detail/334972			01/31/2028			Open 07/11/2022 → Close 01/31/2028			Status: posted						
Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101) (W911KB-25-2-0010)	Alaska District	https://www.grants.gov/search-results-detail/359983		https://www.grants.gov/search-results-detail/359983			09/08/2025			Open 07/10/2025 → Close 09/08/2025			Status: posted						
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed) (TEMP-31337)	National Institutes of Health	https://www.grants.gov/search-results-detail/359158		https://www.grants.gov/search-results-detail/359158						Open 05/28/2025 → Close 			Status: forecasted						
National Training Center for Title X and Teen Pregnancy Prevention (TPP) (AH-TPS-25-001)	Office of the Assistant Secretary for Health	https://www.grants.gov/search-results-detail/355936		https://www.grants.gov/search-results-detail/355936						Open 08/07/2024 → Close 			Status: forecasted						
National Training Center for Title X and Teen Pregnancy Prevention (TPP) (PA-FPT-25-001)	Office of the Assistant Secretary for Health	https://www.grants.gov/search-results-detail/355937		https://www.grants.gov/search-results-detail/355937						Open 08/07/2024 → Close 			Status: forecasted						
Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32) (PA-25-168)	National Institutes of Health	https://www.grants.gov/search-results-detail/357140		https://www.grants.gov/search-results-detail/357140			05/04/2028			Open 11/15/2024 → Close 05/04/2028			Status: posted						
Notice of Intent to Publish a Funding Opportunity Announcement for Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed) (NOT-DK-26-311)	National Institutes of Health	https://www.grants.gov/search-results-detail/358935		https://www.grants.gov/search-results-detail/358935						Open 05/14/2025 → Close 			Status: forecasted						
Brookwood-Sago Mine Safety Grants (FOA-BS-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360323		https://www.grants.gov/search-results-detail/360323			09/19/2025			Open 08/21/2025 → Close 09/19/2025			Status: posted						
MINE HEALTH AND SAFETY STATE GRANTS (MSHA-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360276		https://www.grants.gov/search-results-detail/360276			09/09/2025			Open 08/11/2025 → Close 09/09/2025			Status: posted						
Revitalizing Domestic Manufacturing by Developing the Next Generation of America&rsquo;s Shipbuilders through International Partnerships (FOA-ILAB-25-45)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360093		https://www.grants.gov/search-results-detail/360093			09/26/2025			Open 08/27/2025 → Close 09/26/2025			Status: posted						
Integrated Food Safety System Regulatory and Laboratory Training System National Coordination Center (FOR-FD-25-005)	Food and Drug Administration	https://www.grants.gov/search-results-detail/356045		https://www.grants.gov/search-results-detail/356045						Open 08/14/2024 → Close 			Status: forecasted						
NIGMS Institutional Biomedical Undergraduate Research Training Program (FOR-GM-26-002)	National Institutes of Health	https://www.grants.gov/search-results-detail/359861		https://www.grants.gov/search-results-detail/359861						Open 06/27/2025 → Close 			Status: forecasted						
New NIA Institutional Training Programs for Aging Research (PAR-25-410)	National Institutes of Health	https://www.grants.gov/search-results-detail/359276		https://www.grants.gov/search-results-detail/359276						Open 06/06/2025 → Close 			Status: forecasted						
Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35) (PA-25-280)	National Institutes of Health	https://www.grants.gov/search-results-detail/357996		https://www.grants.gov/search-results-detail/357996			05/07/2028			Open 01/02/2025 → Close 05/07/2028			Status: posted						
Occupational Safety and Health Education and Research Centers (T42) (RFA-OH-25-002)	Centers for Disease Control and Prevention - ERA	https://www.grants.gov/search-results-detail/355417		https://www.grants.gov/search-results-detail/355417			10/26/2028			Open 10/07/2024 → Close 10/26/2028			Status: posted						
Medical Scientist Training Program (MSTP) (T32) (PAR-24-128)	National Institutes of Health	https://www.grants.gov/search-results-detail/352810		https://www.grants.gov/search-results-detail/352810			01/25/2027			Open 03/04/2024 → Close 01/25/2027			Status: posted						
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/333291		https://www.grants.gov/search-results-detail/333291						Open 05/04/2021 → Close 			Status: forecasted						
Global Infectious Disease Research Training Program (D43 Clinical Trial Optional) (PAR-24-174)	National Institutes of Health	https://www.grants.gov/search-results-detail/353590		https://www.grants.gov/search-results-detail/353590			08/06/2026			Open 04/17/2024 → Close 08/06/2026			Status: posted						
Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellowship for Students at Institutions Without NIH-Funded Institutional Predoctoral Dual-Degree Training Programs (Parent F30) (PA-25-425)	National Institutes of Health	https://www.grants.gov/search-results-detail/358831		https://www.grants.gov/search-results-detail/358831			05/07/2028			Open 06/12/2025 → Close 05/07/2028			Status: posted						
Ruth L. Kirschstein National Research Service Award (NRSA) Individual Fellowship for Students at Institutions with NIH-Funded Institutional Predoctoral Dual-Degree Training Programs (Parent F30) (PA-25-426)	National Institutes of Health	https://www.grants.gov/search-results-detail/358832		https://www.grants.gov/search-results-detail/358832			05/07/2028			Open 06/12/2025 → Close 05/07/2028			Status: posted						
Infertility Training Center (PA-FPT-25-002)	Office of the Assistant Secretary for Health	https://www.grants.gov/search-results-detail/359991		https://www.grants.gov/search-results-detail/359991						Open 07/11/2025 → Close 			Status: forecasted						
UCEDD National Training Initiative to Support Youth with Intellectual and Developmental Disabilities involved with the Juvenile Justice System (HHS-2022-ACL-AOD-DDTI-0076)	Administration for Community Living	https://www.grants.gov/search-results-detail/338441		https://www.grants.gov/search-results-detail/338441						Open 03/01/2022 → Close 			Status: forecasted						
National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)	Department of Defense	https://www.grants.gov/search-results-detail/334905		https://www.grants.gov/search-results-detail/334905						Open 07/27/2021 → Close 			Status: forecasted						
Growing Research Access for Nationally Transformative Economic Development (PD-23-221Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/346203		https://www.grants.gov/search-results-detail/346203						Open 02/17/2023 → Close 			Status: posted						
Mathematical Sciences Infrastructure Program (PD-20-1260)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/328573		https://www.grants.gov/search-results-detail/328573			02/03/2026			Open 08/07/2020 → Close 02/03/2026			Status: posted						
National Institute of General Medical Sciences Predoctoral Basic Biomedical Sciences Research Training Program (T32) (PAR-23-228)	National Institutes of Health	https://www.grants.gov/search-results-detail/350485		https://www.grants.gov/search-results-detail/350485			09/25/2026			Open 10/05/2023 → Close 09/25/2026			Status: posted						
Limited Competition: Ruth L. Kirschstein National Research Service Award (NRSA) Postdoctoral Research Training Grant for the Clinical and Translational Science Awards (CTSA) Program (T32 Clinical Trial Not Allowed) (PAR-25-195)	National Institutes of Health	https://www.grants.gov/search-results-detail/357838		https://www.grants.gov/search-results-detail/357838			09/28/2027			Open 12/19/2024 → Close 09/28/2027			Status: posted						
Modules for Enhancing Biomedical Research Workforce Training (R25 - Independent Clinical Trial Not Allowed) (PAR-24-040)	National Institutes of Health	https://www.grants.gov/search-results-detail/351109		https://www.grants.gov/search-results-detail/351109			01/27/2026			Open 11/22/2023 → Close 01/27/2026			Status: posted						
NINDS Ruth L. Kirschstein National Research Service Award (NRSA) for Training of Postdoctoral Fellows (F32 Clinical Trial Not Allowed) (PAR-25-234)	National Institutes of Health	https://www.grants.gov/search-results-detail/357035		https://www.grants.gov/search-results-detail/357035			01/07/2028			Open 11/07/2024 → Close 01/07/2028			Status: posted						
U.S. Embassy Buenos Aires PAS Strategic Programs (PAS-AR200-FY25-05)	U.S. Mission to Argentina	https://www.grants.gov/search-results-detail/358695		https://www.grants.gov/search-results-detail/358695						Open 04/17/2025 → Close 			Status: forecasted						
Fire Science Innovations through Research and Education (PD-25-345Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358568		https://www.grants.gov/search-results-detail/358568			02/10/2026			Open 03/16/2025 → Close 02/10/2026			Status: posted						
Notice to Publish a Funding Opportunity Announcement for the Academic Career Excellence (ACE) Award (K32 - Independent Clinical Trial Not Allowed) (NOT-CA-25-103)	National Institutes of Health	https://www.grants.gov/search-results-detail/359869		https://www.grants.gov/search-results-detail/359869						Open 07/01/2025 → Close 			Status: forecasted						
Forecast to Publish a Notice of Funding Opportunity for Academic Career Excellence (ACE) Award (K32 - Clinical Trial Required) (NOT-CA-25-102)	National Institutes of Health	https://www.grants.gov/search-results-detail/359894		https://www.grants.gov/search-results-detail/359894						Open 07/01/2025 → Close 			Status: forecasted						
Continued Development of the Gabriella Miller Kids First Pediatric Data Resource Center (U2C Clinical Trials Not Allowed) (NOT-RM-25-035)	National Institutes of Health	https://www.grants.gov/search-results-detail/358959		https://www.grants.gov/search-results-detail/358959						Open 05/14/2025 → Close 			Status: forecasted						
US Army Combat Capabilities Development Command Broad Agency Announcement (W911QY25R0023)	ACC APG - Natick	https://www.grants.gov/search-results-detail/360012		https://www.grants.gov/search-results-detail/360012			02/27/2030			Open 07/14/2025 → Close 02/27/2030			Status: posted						
NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed) (PAR-25-204)	National Institutes of Health	https://www.grants.gov/search-results-detail/357168		https://www.grants.gov/search-results-detail/357168			11/12/2027			Open 11/18/2024 → Close 11/12/2027			Status: posted						
Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0108)	Centers for Disease Control-GHC	https://www.grants.gov/search-results-detail/360345		https://www.grants.gov/search-results-detail/360345						Open 08/22/2025 → Close 			Status: forecasted						
Institutional Training Programs to Advance Translational Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (T32 Clinical Trial Not Allowed) (PAR-25-247)	National Institutes of Health	https://www.grants.gov/search-results-detail/357710		https://www.grants.gov/search-results-detail/357710			09/25/2026			Open 12/13/2024 → Close 09/25/2026			Status: posted						
UCEDD National Training Initiative (HHS-2024-ACL-AOD-DDTI-0009)	Administration for Community Living	https://www.grants.gov/search-results-detail/349339		https://www.grants.gov/search-results-detail/349339						Open 07/18/2023 → Close 			Status: forecasted						
Gabriella Miller Kids First Training and Outreach Core (U24 Clinical Trials Not Allowed) (NOT-RM-25-036)	National Institutes of Health	https://www.grants.gov/search-results-detail/358960		https://www.grants.gov/search-results-detail/358960						Open 05/14/2025 → Close 			Status: forecasted						
Institutional Training for the Predoctoral and Postdoctoral Research Workforce (T90/R90 - Clinical Trial Not Allowed) (FOR-DE-26-009)	National Institutes of Health	https://www.grants.gov/search-results-detail/359000		https://www.grants.gov/search-results-detail/359000						Open 06/06/2025 → Close 			Status: forecasted						
OVW Fiscal Year 2025 Training and Technical Assistance Initiative (O-OVW-2025-172426)	Office on Violence Against Women	https://www.grants.gov/search-results-detail/360088		https://www.grants.gov/search-results-detail/360088			09/09/2025			Open 07/21/2025 → Close 09/09/2025			Status: posted						
Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T32) (PAR-24-235)	National Institutes of Health	https://www.grants.gov/search-results-detail/356309		https://www.grants.gov/search-results-detail/356309			01/25/2027			Open 09/03/2024 → Close 01/25/2027			Status: posted						
Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T34) (PAR-24-236)	National Institutes of Health	https://www.grants.gov/search-results-detail/356310		https://www.grants.gov/search-results-detail/356310			01/25/2027			Open 09/03/2024 → Close 01/25/2027			Status: posted						
Limited Competition: Ruth L. Kirschstein National Research Service Award (NRSA) Predoctoral Research Training Grant for the Clinical and Translational Science Awards (CTSA) Program (T32 Clinical Trial Not Allowed) (PAR-25-194)	National Institutes of Health	https://www.grants.gov/search-results-detail/357836		https://www.grants.gov/search-results-detail/357836			09/28/2027			Open 12/19/2024 → Close 09/28/2027			Status: posted						
UCEDD National Training Initiative (HHS-2025-ACL-AOD-DDTI-0009)	Administration for Community Living	https://www.grants.gov/search-results-detail/355838		https://www.grants.gov/search-results-detail/355838						Open 08/01/2024 → Close 			Status: forecasted						
Research Training Groups in the Mathematical Sciences (24-570)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/353962		https://www.grants.gov/search-results-detail/353962			08/11/2026			Open 05/03/2024 → Close 08/11/2026			Status: posted						
Cold Regions Research and Engineering Laboratory Permafrost Tunnel Research Facility Wetland Restoration using Engineering with Nature Solutions (W911KB-25-2-0012)	Alaska District	https://www.grants.gov/search-results-detail/360228		https://www.grants.gov/search-results-detail/360228			09/03/2025			Open 08/04/2025 → Close 09/03/2025			Status: posted						
R Package Development and Data Certification for the National Park Service Units of the National Capital Region and the Northeast (P16AS00322)	National Park Service	https://www.grants.gov/search-results-detail/286105		https://www.grants.gov/search-results-detail/286105						Open 07/14/2016 → Close 			Status: posted						
