Grant Name	Sponsor	Link	Deadline	Relevance	EQORE Fit	Ease of Use	Match %	Award max	RFP	Innovation/execution	Latest preparation start date	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes	Award min	Funding Instrument	Categories	Eligibility	Synopsis snippet
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/356623	09/29/2029	1.5	4.0	5.0			https://www.grants.gov/search-results-detail/356623					Open 10/02/2024 → Close 09/29/2029			Status: posted					
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360353	09/25/2025	1.5	4.0	2.0			https://www.grants.gov/search-results-detail/360353					Open 08/25/2025 → Close 09/25/2025			Status: posted					
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360354	09/25/2025	2.5	4.0	2.0			https://www.grants.gov/search-results-detail/360354					Open 08/25/2025 → Close 09/25/2025			Status: posted					
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360355	09/24/2025	2.0	4.0	2.0			https://www.grants.gov/search-results-detail/360355					Open 08/25/2025 → Close 09/24/2025			Status: posted					
Electrochemical Systems (PD-23-7644)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347329		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347329					Open 04/05/2023 → Close 			Status: posted					
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2016)	Rural Business-Cooperative Service 	https://www.grants.gov/search-results-detail/279638		2.0	3.0	3.0	25.0		https://www.grants.gov/search-results-detail/279638					Open 10/13/2015 → Close 			Status: posted					
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2019)	Rural Business-Cooperative Service 	https://www.grants.gov/search-results-detail/310029		2.0	3.0	3.0	25.0		https://www.grants.gov/search-results-detail/310029					Open 10/30/2018 → Close 			Status: posted					
Electronics, Photonics and Magnetic Devices (PD-18-1517)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/345872		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/345872					Open 02/08/2023 → Close 			Status: posted					
Catalysis (PD-23-1401)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/348932		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/348932					Open 06/27/2023 → Close 			Status: posted					
Combustion and Fire Systems (PD-23-1407)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347509		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347509					Open 04/14/2023 → Close 			Status: posted					
Algorithms for Modern Power Systems (22-569)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/337984	02/09/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/337984					Open 02/11/2022 → Close 02/09/2026			Status: posted					
Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process (SPAINNOFOSUSI2023)	U.S. Mission to Spain	https://www.grants.gov/search-results-detail/344137		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/344137					Open 10/21/2022 → Close 			Status: forecasted					
US Army Combat Capabilities Development Command Broad Agency Announcement (W911QY25R0023)	ACC APG - Natick	https://www.grants.gov/search-results-detail/360012	02/27/2030	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/360012					Open 07/14/2025 → Close 02/27/2030			Status: posted					
Interfacial Engineering (PD-23-1417)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347326		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347326					Open 04/05/2023 → Close 			Status: posted					
Public Diplomacy Small Grants Program (DOS-USEU-PD-2020-002)	U.S. Mission to the European Union	https://www.grants.gov/search-results-detail/327185		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/327185					Open 05/20/2020 → Close 			Status: forecasted					
DHA-  Military Health System Research Program (HT942526MHSRP)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/359250	10/17/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/359250					Open 06/04/2025 → Close 10/17/2025			Status: posted					
Cooperative Agreement for Affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU) (G25AS00345)	Geological Survey	https://www.grants.gov/search-results-detail/360348	09/22/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360348					Open 08/22/2025 → Close 09/22/2025			Status: posted					
Mind, Machine and Motor Nexus (PD-25-058Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358682		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/358682					Open 04/16/2025 → Close 			Status: posted					
Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed) (PAR-25-157)	National Institutes of Health	https://www.grants.gov/search-results-detail/357625	06/18/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/357625					Open 12/10/2024 → Close 06/18/2026			Status: posted					
Clinical and Translational Science Award (UM1 Clinical Trial Optional) (PAR-24-272)	National Institutes of Health	https://www.grants.gov/search-results-detail/356316	09/28/2027	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/356316					Open 09/03/2024 → Close 09/28/2027			Status: posted					
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support (DE-FOA-0002265)	Idaho Field Office	https://www.grants.gov/search-results-detail/329436	10/14/2030	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/329436					Open 10/15/2020 → Close 10/14/2030			Status: posted					
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432)	Office of Science	https://www.grants.gov/search-results-detail/356590	09/30/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/356590					Open 09/30/2024 → Close 09/30/2025			Status: posted					
Thermal Transport Processes (PD-23-1406)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347324		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347324					Open 04/05/2023 → Close 			Status: posted					
Energy, Power, Control, and Networks (PD-18-7607)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/348258		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/348258					Open 05/19/2023 → Close 			Status: posted					
MINE HEALTH AND SAFETY STATE GRANTS (MSHA-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360276	09/09/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360276					Open 08/11/2025 → Close 09/09/2025			Status: posted					
Brookwood-Sago Mine Safety Grants (FOA-BS-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360323	09/19/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360323					Open 08/21/2025 → Close 09/19/2025			Status: posted					
Fluid Dynamics (PD-23-1443)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347020		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347020					Open 03/21/2023 → Close 			Status: posted					
Geospace Cluster (PD-24-7789)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/356536		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/356536					Open 09/26/2024 → Close 			Status: posted					
MPPEP Phase 3 Invasive Wild-Caught Catfish (RD-RBS-25-03-MPPEP)	Rural Business-Cooperative Service 	https://www.grants.gov/search-results-detail/360256	10/06/2025	1.0	3.0	3.0	25.0		https://www.grants.gov/search-results-detail/360256					Open 08/07/2025 → Close 10/06/2025			Status: posted					
NOI to Issue Infrastructure Investment and Jobs Act (IIJA) Funding Opportunity Announcement No. DE-FOA-0003587 titled &ldquo;Rare Earth Elements Demonstration Facility&rdquo;. (DE-FOA-0003586)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/360287	10/13/2025	1.5	4.0	3.0			https://www.grants.gov/search-results-detail/360287					Open 08/13/2025 → Close 10/13/2025			Status: posted					
Notice of Intent to issue Critical Minerals and Materials Accelerator Notice of Funding Opportunity (DE-FOA-0003588)	Golden Field Office	https://www.grants.gov/search-results-detail/360290	10/13/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/360290					Open 08/13/2025 → Close 10/13/2025			Status: posted					
Communications, Circuits, and Sensing-Systems (PD-18-7564)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/346204		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/346204					Open 02/17/2023 → Close 			Status: posted					
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334)	National Institutes of Health	https://www.grants.gov/search-results-detail/359970		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/359970					Open 07/17/2025 → Close 			Status: forecasted					
FY 2023 Disaster Supplemental (EDA-DISASTER-2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/347414		0.5	3.0	3.0	20.0		https://www.grants.gov/search-results-detail/347414					Open 04/24/2023 → Close 			Status: posted					
Native American Affairs: Emergency Drought Relief for Tribes Inflation Reduction Act of 2022, Section 80004 (R25AS00275)	Bureau of Reclamation	https://www.grants.gov/search-results-detail/359950	10/14/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/359950					Open 07/08/2025 → Close 10/14/2025			Status: posted					
U.S. Mission to the United Nations-Geneva, Small Grants Program (GVA-SGP-2023-002)	U.S. Mission to the United Nations	https://www.grants.gov/search-results-detail/344437		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/344437					Open 11/10/2022 → Close 			Status: posted					
Public Diplomacy Section Praia: Small Grants Program (AFPRA-25-01)	U.S. Mission to Cape Verde	https://www.grants.gov/search-results-detail/359747		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/359747					Open 08/27/2025 → Close 			Status: posted					
Make Every Drop Count (PAS-JOR-FY25-005)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360245	09/06/2025	0.5	3.0	1.0			https://www.grants.gov/search-results-detail/360245					Open 08/06/2025 → Close 09/06/2025			Status: posted					
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU) (G25AS00348)	Geological Survey	https://www.grants.gov/search-results-detail/360346	09/22/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360346					Open 08/22/2025 → Close 09/22/2025			Status: posted					
FY 2026 International Visitor Leadership Program Collaborative Services (DFOP0017389)	Bureau Of Educational and Cultural Affairs	https://www.grants.gov/search-results-detail/359958	09/08/2025	0.5	2.0	2.0			https://www.grants.gov/search-results-detail/359958					Open 07/09/2025 → Close 09/08/2025			Status: posted					
Medical Scientist Training Program (MSTP) (T32) (PAR-24-128)	National Institutes of Health	https://www.grants.gov/search-results-detail/352810	01/25/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/352810					Open 03/04/2024 → Close 01/25/2027			Status: posted					
Findable Accessible Interoperable Reusable Open Science (25-533)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358036	04/08/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/358036					Open 01/07/2025 → Close 04/08/2026			Status: posted					
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC)  (NNH18ZHA002N-MUSIC)	National Aeronautics and Space Administration	https://www.grants.gov/search-results-detail/300997		2.0	3.0	3.0			https://www.grants.gov/search-results-detail/300997					Open 02/22/2018 → Close 			Status: posted					
Small Grants Program (GVA-SGP-2020-001)	U.S. Mission to the United Nations	https://www.grants.gov/search-results-detail/326733		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/326733					Open 05/05/2020 → Close 			Status: posted					
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846)	Department of Commerce	https://www.grants.gov/search-results-detail/332052		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332052					Open 03/15/2021 → Close 			Status: posted					
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850)	Department of Commerce	https://www.grants.gov/search-results-detail/332126		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332126					Open 03/15/2021 → Close 			Status: posted					
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848)	Department of Commerce	https://www.grants.gov/search-results-detail/332137		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332137					Open 03/15/2021 → Close 			Status: posted					
Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-CHI-TA-CRO-2021-2006849)	Department of Commerce	https://www.grants.gov/search-results-detail/332125		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332125					Open 03/15/2021 → Close 			Status: posted					
Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-PHI-TA-PRO-2021-2006851)	Department of Commerce	https://www.grants.gov/search-results-detail/332138		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332138					Open 03/15/2021 → Close 			Status: posted					
Modern Equipment for Shared-use Biomedical Research Facilities: Advancing Research-Related Operations (S15 Clinical Trial Not Allowed) (PAR-24-259)	National Institutes of Health	https://www.grants.gov/search-results-detail/355855	09/25/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/355855					Open 08/02/2024 → Close 09/25/2026			Status: posted					
Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-SEA-TA-SRO-2021-2006853)	Department of Commerce	https://www.grants.gov/search-results-detail/332127		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332127					Open 03/15/2021 → Close 			Status: posted					
Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (NOT-AT-25-006)	National Institutes of Health	https://www.grants.gov/search-results-detail/359155		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/359155					Open 05/28/2025 → Close 			Status: forecasted					
Maximizing Investigators' Research Award (FOR-GM-27-002)	National Institutes of Health	https://www.grants.gov/search-results-detail/359862		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/359862					Open 06/30/2025 → Close 			Status: forecasted					
Support for a National Electronic Interstate Records Exchange System (HHS-2025-ACF-ACYF-CO-0079)	Administration for Children and Families - ACYF/CB	https://www.grants.gov/search-results-detail/356022		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/356022					Open 08/13/2024 → Close 			Status: forecasted					
Environmental Engineering (PD-20-1440)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/320490		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/320490					Open 09/11/2019 → Close 			Status: posted					
Enhancement and Management of Established Biomedical Data Repositories and Knowledgebases (U24 Clinical Trial Not Allowed) (PAR-23-237)	National Institutes of Health	https://www.grants.gov/search-results-detail/350051	01/25/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/350051					Open 08/30/2023 → Close 01/25/2026			Status: posted					
Maximizing Investigators Research Award (MIRA) for Early Stage Investigators (ESI) (R35 - Clinical Trial Optional) (PAR-23-145)	National Institutes of Health	https://www.grants.gov/search-results-detail/347720	02/03/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/347720					Open 04/24/2023 → Close 02/03/2026			Status: posted					
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136)	National Institutes of Health	https://www.grants.gov/search-results-detail/357034	01/07/2028	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/357034					Open 11/07/2024 → Close 01/07/2028			Status: posted					
Examining the Impact of Artificial Intelligence (AI) on Healthcare Safety (R18) (PA-24-261)	Agency for Health Care Research and Quality	https://www.grants.gov/search-results-detail/355419	05/25/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/355419					Open 07/16/2024 → Close 05/25/2027			Status: posted					
USDA/USDOI Joint Fire Science Program (JFSP) (L20AS00080)	Bureau of Land Management	https://www.grants.gov/search-results-detail/325472		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/325472					Open 03/16/2020 → Close 			Status: forecasted					
Chesapeake Center for Collaborative Computing (EPA-R3-CBP-25-01)	Environmental Protection Agency	https://www.grants.gov/search-results-detail/360119	09/10/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360119					Open 07/23/2025 → Close 09/10/2025			Status: posted					
FY 2021 - 2023 Economic Development RNTA (EDA-HDQ-RNTA-2021)	Department of Commerce	https://www.grants.gov/search-results-detail/334079		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/334079					Open 06/09/2021 → Close 			Status: posted					
Infrastructure Systems and People (PD-25-342Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358397		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/358397					Open 01/25/2025 → Close 			Status: posted					
HEAL: Translating Addiction Epidemiology, Prevention, Treatment, and Recovery Research into Practice (R61/R33 - Clinical Trial Optional) (FOR-DA-26-001)	National Institutes of Health	https://www.grants.gov/search-results-detail/358819		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/358819					Open 05/05/2025 → Close 			Status: forecasted					
Science of Learning and Augmented Intelligence (SL) (PD-19-127Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/320753	02/11/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/320753					Open 09/19/2019 → Close 02/11/2026			Status: posted					
FY 2025 Preschool Development Grant Birth Through Five (PDG B-5) Systems-Building Grant (HHS-2025-ACF-ECD-TP-0016)	Administration for Children and Families	https://www.grants.gov/search-results-detail/355578		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/355578					Open 07/22/2024 → Close 			Status: forecasted					
