Grant Name	Sponsor	Link	Deadline	Relevance	EQORE Fit	Ease of Use	Match %	Award max	RFP	Innovation/execution	Latest preparation start date	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes	Award min	Funding Instrument	Categories	Eligibility	Synopsis snippet
FY 2024 &ndash; 2026 Broad Agency Announcement (BAA), National Marine Fisheries Service (NOAA-NMFS-FHQ-2024-27611)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/355706	09/30/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/355706					Open 07/29/2024 → Close 09/30/2026			Status: posted					
NDEP STEM Open NFO (HQ003423NFOEASD01)	Washington Headquarters Services	https://www.grants.gov/search-results-detail/345938	02/08/2028	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/345938					Open 02/09/2023 → Close 02/08/2028			Status: posted					
Microsystems Technology Office (MTO) Office-wide (HR001124S0028)	DARPA - Microsystems Technology Office 	https://www.grants.gov/search-results-detail/354134	10/09/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/354134					Open 05/09/2024 → Close 10/09/2025			Status: posted					
Cooperative Institute Fostering Aquaculture Research and Marketing (CIFARM) (NOAA-OAR-CIPO-2025-31269)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/359283	09/05/2025	1.0	3.0	1.0			https://www.grants.gov/search-results-detail/359283					Open 06/06/2025 → Close 09/05/2025			Status: posted					
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) (NOAA-NWS-2024-28059)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/355705	09/30/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/355705					Open 07/29/2024 → Close 09/30/2026			Status: posted					
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity (FA8650-19-S-5010)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/318351	07/12/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/318351					Open 07/12/2019 → Close 07/12/2026			Status: posted					
Notice of Intent to Issue Infrastructure Investment and Jobs Act (IIJA): Mines and Metals Capacity Expansion &ndash; Piloting By-Product Critical Minerals and Materials Recovery at Domestic Industrial Facilities (DE-FOA-0003582)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/360291	12/15/2025	1.5	4.0	4.0			https://www.grants.gov/search-results-detail/360291					Open 08/13/2025 → Close 12/15/2025			Status: posted					
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) Announcement Type: Initial (NOAA-NESDISPO-STAR-2024-27967)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/356127	09/30/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/356127					Open 08/19/2024 → Close 09/30/2026			Status: posted					
TECHGATE (DFOP0017381)	Bureau of Cyberspace and Digital Policy	https://www.grants.gov/search-results-detail/360408	09/02/2025	0.5	3.0	1.0			https://www.grants.gov/search-results-detail/360408					Open 08/29/2025 → Close 09/02/2025			Status: posted					
Air Delivered Effects (FA8651-22-S-0001)	Munitions Directorate	https://www.grants.gov/search-results-detail/338821	03/21/2027	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/338821					Open 03/22/2022 → Close 03/21/2027			Status: posted					
FY23 Forest Service Pesticide Impact Assessment Program (USDA-FS-FHP-FS-PIAP-FY2023)	Forest Service	https://www.grants.gov/search-results-detail/343234		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/343234					Open 09/01/2022 → Close 			Status: forecasted					
Annual Program Statement for U.S. Presentation at International Art Biennales (DFOP0017204)	Bureau Of Educational and Cultural Affairs	https://www.grants.gov/search-results-detail/360164	01/01/2099	0.5	2.0	5.0			https://www.grants.gov/search-results-detail/360164					Open 07/29/2025 → Close 01/01/2099			Status: posted					
DOD Defense Health Agency (DHA) Research &amp; Development FY23-FY27 BROAD AGENCY ANNOUNCEMENT for Extramural Medical Research (HT942523SBAA1)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/343725	09/30/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/343725					Open 09/22/2022 → Close 09/30/2027			Status: posted					
Fundamental Research to Counter Weapons of Mass Destruction (HDTRA1-25-S-0001)	Defense Threat Reduction Agency	https://www.grants.gov/search-results-detail/356612	09/30/2034	1.0	3.0	5.0	0.0		https://www.grants.gov/search-results-detail/356612					Open 10/01/2024 → Close 09/30/2034			Status: posted					
DRAFT Community Noise Mitigation Program (OLDCC-23-F-0003)	Office of Local Defense Community Cooperation	https://www.grants.gov/search-results-detail/349858		1.0	3.0	4.0	0.0		https://www.grants.gov/search-results-detail/349858					Open 08/14/2023 → Close 			Status: forecasted					
Small Surface Water and Groundwater Storage Projects (Small Storage Program) (R25AS00270)	Bureau of Reclamation	https://www.grants.gov/search-results-detail/360059	04/17/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/360059					Open 07/17/2025 → Close 04/17/2026			Status: posted					
Native American Affairs: Technical Assistance to Tribes for Fiscal Year 2025 (R25AS00293)	Bureau of Reclamation	https://www.grants.gov/search-results-detail/360110	10/28/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/360110					Open 07/22/2025 → Close 10/28/2025			Status: posted					
FY26 BROWNFIELDS JOB TRAINING (JT) GRANTS (EPA-I-OLEM-OBLR-25-01)	Environmental Protection Agency	https://www.grants.gov/search-results-detail/358898	09/26/2025	1.0	3.0	2.0			https://www.grants.gov/search-results-detail/358898					Open 07/21/2025 → Close 09/26/2025			Status: posted					
Midsize and Large Drinking Water System Infrastructure Resilience and Sustainability Program (EPA-OW-OGWDW-25-01)	Environmental Protection Agency	https://www.grants.gov/search-results-detail/360232	10/06/2025	1.5	3.0	3.0			https://www.grants.gov/search-results-detail/360232					Open 08/05/2025 → Close 10/06/2025			Status: posted					
Partnerships with MCC Program (95332419N0001)	Millennium Challenge Corporation	https://www.grants.gov/search-results-detail/314279	03/31/2027	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/314279					Open 03/26/2019 → Close 03/31/2027			Status: posted					
Industry-Driven Skills Training Fund Grant Program (ETA-TEGL-02-25)	Employment and Training Administration	https://www.grants.gov/search-results-detail/360260	09/05/2025	1.0	3.0	1.0			https://www.grants.gov/search-results-detail/360260					Open 08/07/2025 → Close 09/05/2025			Status: posted					
FY23 Evaluation Monitoring Program (USDA-FS-FHP-EM-FY2023)	Forest Service	https://www.grants.gov/search-results-detail/343233		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/343233					Open 09/01/2022 → Close 			Status: forecasted					
Rural and Tribal Assistance (RTA) Pilot Program (DOT-OST-2025-103)	69A345 Office of the Under Secretary for Policy	https://www.grants.gov/search-results-detail/360227		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/360227					Open 08/07/2025 → Close 			Status: forecasted					
Defense Sciences Office (DSO) Office-wide BAA (HR001125S0013)	DARPA - Defense Sciences Office	https://www.grants.gov/search-results-detail/359239	06/02/2026	0.5	3.0	5.0	0.0		https://www.grants.gov/search-results-detail/359239					Open 06/03/2025 → Close 06/02/2026			Status: posted					
Broad Agency Announcement (BAA) Call N0001425SBC03 For Office of Naval Research (ONR) Global Opportunity: GlobalX Innovation Joint Challenge: AI for Advancing Maritime Security (N0001425SBC03)	Office of Naval Research	https://www.grants.gov/search-results-detail/358680		1.5	3.0	3.0			https://www.grants.gov/search-results-detail/358680					Open 05/06/2025 → Close 			Status: posted					
Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101) (W911KB-25-2-0010)	Alaska District	https://www.grants.gov/search-results-detail/359983	09/08/2025	1.0	3.0	2.0			https://www.grants.gov/search-results-detail/359983					Open 07/10/2025 → Close 09/08/2025			Status: posted					
NSWC Dahlgren BAA N00178-25-0002 (N00178-25-0002)	NSWC Dahlgren	https://www.grants.gov/search-results-detail/356715	10/14/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/356715					Open 10/15/2024 → Close 10/14/2025			Status: posted					
U.S. Embassy Cotonou PDS Request for Statements of Interest (PDS-RCS-FY25)	U.S. Mission to Benin	https://www.grants.gov/search-results-detail/358808		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/358808					Open 05/02/2025 → Close 			Status: forecasted					
Department of Defense Research and Education Program for Historically Black Colleges and Universities and Minority-Serving Institutions (HBCU/MI) (W911NF24S0009)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/355730	07/31/2029	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/355730					Open 08/01/2024 → Close 07/31/2029			Status: posted					
Family Violence Prevention and Services Discretionary Grant Program/ National Indigenous Domestic Violence Hotline (HHS-2025-ACF-OFVPS-EV-0004)	Administration for Children and Families - OFVPS	https://www.grants.gov/search-results-detail/355697	09/04/2025	0.5	3.0	1.0			https://www.grants.gov/search-results-detail/355697					Open 08/20/2025 → Close 09/04/2025			Status: posted					
Strengthening ties between the U.S. and Cyprus (PAS-CY600-FY25-0001)	U.S. Mission to Cyprus	https://www.grants.gov/search-results-detail/358811		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/358811					Open 05/05/2025 → Close 			Status: forecasted					
Application Instructions for the Indian Community Development Block Grant (ICDBG) Imminent Threat (IT) Program (FR-6900-N-74)	Department of Housing and Urban Development	https://www.grants.gov/search-results-detail/358716	09/30/2025	1.0	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/358716					Open 04/18/2025 → Close 09/30/2025			Status: posted					
FY 2024 Atlantic Salmon Habitat Restoration Partnership Grants (NOAA-NMFS-HCPO-2024-25198)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/352198	03/31/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/352198					Open 02/05/2024 → Close 03/31/2026			Status: posted					
BIOLOGICAL CONTROL OF INVASIVE FOREST PESTS PROGRAM FY23 (USDA-FS-FHP-BCIFP-FY2023)	Forest Service	https://www.grants.gov/search-results-detail/342448		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/342448					Open 09/01/2022 → Close 			Status: forecasted					
F26AS00009_FY 2026 - Sportfishing and Boating Safety Act - Boating Infrastructure Grant (BIG) Tier 2 (F26AS00009)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/360382	10/27/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/360382					Open 08/28/2025 → Close 10/27/2025			Status: posted					
FY25 Naval Air Warfare Center Aircraft Division Office-Wide Broad Agency Announcement (N00421-25-S-0001)	NAVAIR	https://www.grants.gov/search-results-detail/359802	06/22/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/359802					Open 06/27/2025 → Close 06/22/2026			Status: posted					
FAA Aviation Research Grants Program (20-01)	DOT - FAA Aviation Research Grants	https://www.grants.gov/search-results-detail/328902	09/07/2027	1.0	4.0	5.0	20.0		https://www.grants.gov/search-results-detail/328902					Open 09/08/2020 → Close 09/07/2027			Status: posted					
NOAA Great Lakes Fish Habitat Restoration Partnership Grants (NOAA-NMFS-HCPO-2024-28122)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/356231		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/356231					Open 08/27/2024 → Close 			Status: posted					
Innovative Finance and Asset Concession (IFAC) Grant Program (DOT-OST-2025-0033)	69A345 Office of the Under Secretary for Policy	https://www.grants.gov/search-results-detail/360279	10/01/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/360279					Open 08/13/2025 → Close 10/01/2025			Status: posted					
Special Technology Development Program (USDA-FS-FHP-STDP-FY2023)	Forest Service	https://www.grants.gov/search-results-detail/342444		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/342444					Open 09/01/2022 → Close 			Status: forecasted					
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001)	National Geospatial-Intelligence Agency 	https://www.grants.gov/search-results-detail/351404	12/14/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/351404					Open 12/15/2023 → Close 12/14/2026			Status: posted					
FY2025 NAGPRA Repatriation Grants (P25AS00474)	National Park Service	https://www.grants.gov/search-results-detail/357994	05/08/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/357994					Open 01/03/2025 → Close 05/08/2026			Status: posted					
DoD Prostate Cancer, Clinical Consortium Award (HT942525PCRPCCA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/359060	09/02/2025	0.5	3.0	1.0			https://www.grants.gov/search-results-detail/359060					Open 05/20/2025 → Close 09/02/2025			Status: posted					
State Veterans Home Construction Grant Program (VA-GRANTS-112508-002)	Construction of State Home Facilities	https://www.grants.gov/search-results-detail/58617		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/58617					Open 11/01/2010 → Close 			Status: posted					
2025 White-nose Syndrome Grants to States and Tribes (F25AS00296)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/360023	09/12/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360023					Open 07/14/2025 → Close 09/12/2025			Status: posted					
Revitalizing Domestic Manufacturing by Developing the Next Generation of America&rsquo;s Shipbuilders through International Partnerships (FOA-ILAB-25-45)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/360093	09/26/2025	1.0	3.0	2.0			https://www.grants.gov/search-results-detail/360093					Open 08/27/2025 → Close 09/26/2025			Status: posted					
DoD Military Burn, Discovery Award (HT942525MBRPDA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358796	09/08/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/358796					Open 05/01/2025 → Close 09/08/2025			Status: posted					
Biological Technologies (HR001124S0034)	DARPA - Biological Technologies Office	https://www.grants.gov/search-results-detail/356403	09/10/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/356403					Open 09/11/2024 → Close 09/10/2025			Status: posted					
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (G25AS00342)	Geological Survey	https://www.grants.gov/search-results-detail/360273	09/08/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360273					Open 08/08/2025 → Close 09/08/2025			Status: posted					
F26AS00008_FY 2026 - Sportfishing and Boating Safety Act - Boating Infrastructure Grant (BIG) Tier 1 (F26AS00008)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/360381	10/27/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/360381					Open 08/28/2025 → Close 10/27/2025			Status: posted					
NIST MEP Disaster Assessment Program (2020-NIST-MEP-MDAP-01)	National Institute of Standards and Technology	https://www.grants.gov/search-results-detail/323740		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/323740					Open 01/17/2020 → Close 			Status: posted					
Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional) (PAR-25-438)	National Institutes of Health	https://www.grants.gov/search-results-detail/358818	10/16/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/358818					Open 06/05/2025 → Close 10/16/2025			Status: posted					
LPS Qubit Collaboratory (LQC) (W911NF21S0009)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/332894	04/30/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/332894					Open 04/16/2021 → Close 04/30/2026			Status: posted					
Updated National Dislocated Worker Grant Program Guidance and Application Information (ETA-TEGL-09-24)	Employment and Training Administration	https://www.grants.gov/search-results-detail/357771	12/31/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/357771					Open 12/17/2024 → Close 12/31/2026			Status: posted					
DoD Military Burn, Technology/Therapeutic Development Award (HT942525MBRPTTDA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358800	09/08/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/358800					Open 05/01/2025 → Close 09/08/2025			Status: posted					
DoD Toxic Exposures Investigator-Initiated Research Award (HT942525TERPIIRA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/359255	10/16/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/359255					Open 06/05/2025 → Close 10/16/2025			Status: posted					
FY25 ONR Office Of Naval Research (ONR) Science, Technology, Engineering, and Mathematics(STEM) Education and Workforce Program (N0001425SF006)	Office of Naval Research	https://www.grants.gov/search-results-detail/359932	06/30/2026	1.5	3.0	5.0			https://www.grants.gov/search-results-detail/359932					Open 07/07/2025 → Close 06/30/2026			Status: posted					
BROAD AGENCY ANNOUNCEMENT (BAA) for Extramural Biomedical and Human Performance Research and Development Department of Defense (HT9425-23-S-SOC1)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/349586	07/31/2028	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/349586					Open 07/27/2023 → Close 07/31/2028			Status: posted					
DoD Military Burn, Patient-Centered Research Award (HT942525MBRPPCRA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358799	09/08/2025	1.0	3.0	2.0			https://www.grants.gov/search-results-detail/358799					Open 05/01/2025 → Close 09/08/2025			Status: posted					
DoD Toxic Exposures Translational Research Partnership Award (HT942525TERPTRPA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/359254	10/16/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/359254					Open 06/05/2025 → Close 10/16/2025			Status: posted					
RESEARCH INITIATIVES AT THE NAVAL POST GRADUATE SCHOOL (N00244-22-S-NPS-F001)	Naval Supply Systems Command	https://www.grants.gov/search-results-detail/337346	01/13/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/337346					Open 01/13/2022 → Close 01/13/2026			Status: posted					
DoD Toxic Exposures Clinical Trial Partnership Award (HT942525TERPCTPA)	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/359256	10/16/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/359256					Open 06/05/2025 → Close 10/16/2025			Status: posted					
FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology (N0001425SB001)	Office of Naval Research	https://www.grants.gov/search-results-detail/356605	09/30/2025	1.0	3.0	3.0			https://www.grants.gov/search-results-detail/356605					Open 10/01/2024 → Close 09/30/2025			Status: posted					
Commercial Fishing Occupational Safety Training Project Grants (T03) (RFA-OH-22-006)	Centers for Disease Control and Prevention - ERA	https://www.grants.gov/search-results-detail/334972	01/31/2028	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/334972					Open 07/11/2022 → Close 01/31/2028			Status: posted					
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01) (RFA-OH-22-005)	Centers for Disease Control and Prevention - ERA	https://www.grants.gov/search-results-detail/334971	01/31/2028	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/334971					Open 07/08/2022 → Close 01/31/2028			Status: posted					
Health Home for Children with Medically Complex Conditions (CMS-3J3-23-001)	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/343826	10/01/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/343826					Open 09/30/2022 → Close 10/01/2025			Status: posted					
FY2025 Golden Mussel Prevention and Control in the Western United States (F25AS00320)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/360252	10/06/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/360252					Open 08/06/2025 → Close 10/06/2025			Status: posted					
